"name","type"
"",""
"",""
"",""
"Sofa Gallery","2-star hotel"
"Tavilla Hotel","3-star hotel"
"ศิลป์โสภา Silsopa Hostel","2-star hotel"
"Bannraiphontawan","เกสท์เฮ้าส์"
"เดอะการ์เด้น รีสอร์ท หนองคาย","3-star hotel"
"Samoar Riverside","3-star hotel"
"Porntip Resort","3-star hotel"
"ที่พักริมโขง""แม่โขง ธาราวดี วิลล่า""","โรงแรม"
"Container Motel","รีสอร์ท"
"Ruen Rom Hotel","โรงแรม"
"โรงแรมพิกุลทอง","โรงแรม"
"Baanwas Resort","3-star hotel"
"โรงแรมปรารินทร์ โฮเต็ล","โรงแรม"
"ปากโสมรีสอร์ท","รีสอร์ท"
"",""
